dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Diffa,Diffa,Gueskerou,812,180,0,0,0,0,0,0,0,0,50,200
2022-05-31,Diffa,N'Guigmi,Nguigmi,538,120,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,411,90,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,408,90,490,70,50,490,770,770,12,84,70,700
2022-05-31,Diffa,N'Guigmi,Nguigmi,270,60,0,0,50,0,1750,1750,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,411,90,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,1623,360,0,0,100,0,2100,2100,0,0,1500,6000
2022-05-31,Diffa,Diffa,Diffa,810,180,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Bosso,Bosso,0,0,8029,1147,30,8029,0,0,0,0,10,40
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,1625,360,420,60,50,420,0,0,5,35,60,240
2022-05-31,Diffa,Diffa,Chetimari,202,45,350,50,23,350,2275,2275,0,0,126,504
2022-05-31,Diffa,Diffa,Diffa,115,25,490,70,20,490,0,0,5,35,5,20
2022-05-31,Diffa,Diffa,Gueskerou,110,23,2220,370,0,2220,0,0,0,0,50,250
2022-05-31,Diffa,Diffa,Diffa,299,67,140,20,25,140,276,276,0,0,20,80
2022-05-31,Diffa,Bosso,Bosso,1082,240,0,0,50,0,0,0,50,3500,200,800
2022-05-31,Diffa,Diffa,Gueskerou,808,180,0,0,50,0,0,0,0,0,150,600
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,0,3,0,147,147,0,0,76,147
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,420,60,11,420,693,693,0,0,35,245
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,70,10,0,0,0,0,98,98,0,0,14,98
2022-05-31,Maradi,Guidan Roumdji,Guidan Sori,175,25,0,0,5,0,2562,2562,0,0,29,203
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,280,40,245,35,6,245,812,812,0,0,30,210
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,21,3,0,0,3,0,252,252,0,0,30,210
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,0,10,0,210,210,0,0,20,140
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,91,13,0,0,3,0,511,511,0,0,57,339
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,0,0,0,21,21,0,0,3,21
2022-05-31,Maradi,Guidan Roumdji,Tibiri,77,10,0,0,0,0,161,161,0,0,13,91
2022-05-31,Maradi,Guidan Roumdji,Tibiri,28,4,0,0,2,0,910,910,0,0,10,70
2022-05-31,Maradi,Guidan Roumdji,Tibiri,245,35,0,0,2,0,980,980,0,0,0,0
2022-05-31,Maradi,Madarounfa,Gabi,21,3,0,0,2,0,805,805,0,0,40,280
2022-05-31,Maradi,Madarounfa,Gabi,63,9,412,66,12,412,511,511,0,0,30,210
2022-05-31,Maradi,Madarounfa,Gabi,14,2,0,0,2,0,350,350,0,0,12,116
2022-05-31,Maradi,Madarounfa,Gabi,0,0,0,0,0,0,525,525,0,0,15,105
2022-05-31,Maradi,Madarounfa,Gabi,100,13,0,0,10,0,3000,3000,0,0,183,1412
2022-05-31,Maradi,Madarounfa,Gabi,518,85,0,0,5,0,3500,3500,0,0,134,938
2022-05-31,Maradi,Madarounfa,Gabi,0,0,0,0,2,0,1120,1120,0,0,11,130
2022-05-31,Maradi,Madarounfa,Gabi,162,18,0,0,4,0,5005,5005,0,0,35,337
2022-05-31,Maradi,Madarounfa,Gabi,420,60,0,0,10,0,840,840,0,0,15,105
2022-05-31,Maradi,Madarounfa,Gabi,200,25,105,15,0,105,700,700,0,0,1,1
2022-05-31,Maradi,Madarounfa,Gabi,42,3,0,0,1,0,1050,1050,0,0,0,0
2022-05-31,Maradi,Madarounfa,Gabi,67,9,0,0,1,0,5600,5600,0,0,0,0
2022-05-31,Maradi,Madarounfa,Gabi,0,0,0,0,6,0,1840,1840,0,0,3,17
2022-05-31,Maradi,Madarounfa,Gabi,35,5,0,0,6,0,3500,3500,0,0,36,251
2022-05-31,Maradi,Madarounfa,Gabi,350,50,0,0,1,0,863,863,0,0,53,375
2022-05-31,Maradi,Madarounfa,Gabi,63,9,0,0,10,0,1442,1442,0,0,15,105
2022-05-31,Maradi,Madarounfa,Gabi,700,100,0,0,0,0,2800,2800,0,0,15,128
2022-05-31,Maradi,Madarounfa,Gabi,50,7,0,0,1,0,2500,2500,0,0,77,539
2022-05-31,Maradi,Madarounfa,Gabi,0,0,0,0,6,0,1050,1050,0,0,30,210
2022-05-31,Maradi,Madarounfa,Gabi,105,15,0,0,10,0,1540,1540,0,0,10,70
2022-05-31,Maradi,Madarounfa,Gabi,70,10,1400,200,0,1400,1400,1400,0,0,5,35
2022-05-31,Maradi,Madarounfa,Gabi,35,5,0,0,1,0,6650,6650,0,0,300,2100
2022-05-31,Maradi,Madarounfa,Gabi,259,37,0,0,0,0,1092,1092,0,0,47,329
2022-05-31,Maradi,Madarounfa,Gabi,0,0,0,0,2,0,1890,1890,0,0,1,5
2022-05-31,Maradi,Madarounfa,Gabi,120,17,140,20,21,140,5000,5000,0,0,117,820
2022-05-31,Maradi,Madarounfa,Gabi,91,13,0,0,0,0,2400,2400,0,0,1,7
2022-05-31,Maradi,Madarounfa,Gabi,385,55,0,0,20,0,2611,2611,0,0,3,20
2022-05-31,Maradi,Madarounfa,Gabi,210,30,0,0,25,0,4900,4900,0,0,7,49
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,181,34,0,0,40,0,63000,63000,25,175,249,1281
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,0,0,0,3290,3290,0,0,235,1245
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,140,10,0,0,1,0,756,756,0,0,44,160
2022-05-31,Maradi,Guidan Roumdji,Guidan Sori,98,14,14,2,6,14,686,686,0,0,3,8
2022-05-31,Maradi,Guidan Roumdji,Tibiri,567,81,0,0,2,0,2023,2023,0,0,146,1025
2022-05-31,Maradi,Guidan Roumdji,Tibiri,210,30,315,45,15,315,1274,1274,0,0,20,140
2022-05-31,Maradi,Guidan Roumdji,Tibiri,35,2,0,0,20,0,60,60,4,30,1,10
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,68,10,0,0,6,0,3850,3850,0,0,30,150
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,8,1,0,0,0,0,800,800,0,0,10,60
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,105,15,0,0,0,0,245,245,0,0,20,140
2022-05-31,Maradi,Guidan Roumdji,Guidan Sori,0,0,0,0,8,0,595,595,0,0,7,49
2022-05-31,Maradi,Guidan Roumdji,Guidan Sori,0,0,0,0,4,0,490,490,0,0,6,49
2022-05-31,Maradi,Guidan Roumdji,Tibiri,147,21,0,0,0,0,847,847,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,399,57,0,0,0,0,820,820,0,0,26,182
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,490,70,0,0,0,0,1190,1190,0,0,120,840
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,0,0,0,1400,1400,0,0,6,60
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,245,35,0,0,0,0,245,245,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,371,53,0,0,0,0,1904,1904,0,0,0,0
2022-05-31,Maradi,Guidan Roumdji,Guidan Roumdji,210,30,0,0,0,0,2800,2800,0,0,35,247
